Дата;Год;Месяц;День недели №;День недели;Номер недели;День тип
09.10.2018;2018;10;2;Вторник;41;Рабочий
10.10.2018;2018;10;3;Среда;41;Рабочий
11.10.2018;2018;10;4;Четверг;41;Рабочий
12.10.2018;2018;10;5;Пятница;41;Пятница
13.10.2018;2018;10;6;Суббота;41;Выходной_С
14.10.2018;2018;10;7;Воскресенье;41;Выходной_В
15.10.2018;2018;10;1;Понедельник;42;Рабочий
16.10.2018;2018;10;2;Вторник;42;Рабочий
17.10.2018;2018;10;3;Среда;42;Рабочий
18.10.2018;2018;10;4;Четверг;42;Рабочий
19.10.2018;2018;10;5;Пятница;42;Пятница
20.10.2018;2018;10;6;Суббота;42;Выходной_С
21.10.2018;2018;10;7;Воскресенье;42;Выходной_В
22.10.2018;2018;10;1;Понедельник;43;Рабочий
23.10.2018;2018;10;2;Вторник;43;Рабочий
24.10.2018;2018;10;3;Среда;43;Рабочий
25.10.2018;2018;10;4;Четверг;43;Рабочий
26.10.2018;2018;10;5;Пятница;43;Пятница
27.10.2018;2018;10;6;Суббота;43;Выходной_С
28.10.2018;2018;10;7;Воскресенье;43;Выходной_В
29.10.2018;2018;10;1;Понедельник;44;Рабочий
30.10.2018;2018;10;2;Вторник;44;Рабочий
31.10.2018;2018;10;3;Среда;44;Рабочий
01.11.2018;2018;11;4;Четверг;44;Рабочий
02.11.2018;2018;11;5;Пятница;44;Пятница
03.11.2018;2018;11;6;Суббота;44;Выходной_С
04.11.2018;2018;11;7;Воскресенье;44;Выходной_В
05.11.2018;2018;11;1;Понедельник;45;Выходной_В
06.11.2018;2018;11;2;Вторник;45;Рабочий
07.11.2018;2018;11;3;Среда;45;Рабочий
08.11.2018;2018;11;4;Четверг;45;Рабочий
09.11.2018;2018;11;5;Пятница;45;Пятница
10.11.2018;2018;11;6;Суббота;45;Выходной_С
11.11.2018;2018;11;7;Воскресенье;45;Выходной_В
12.11.2018;2018;11;1;Понедельник;46;Рабочий
13.11.2018;2018;11;2;Вторник;46;Рабочий
14.11.2018;2018;11;3;Среда;46;Рабочий
15.11.2018;2018;11;4;Четверг;46;Рабочий
16.11.2018;2018;11;5;Пятница;46;Пятница
17.11.2018;2018;11;6;Суббота;46;Выходной_С
18.11.2018;2018;11;7;Воскресенье;46;Выходной_В
19.11.2018;2018;11;1;Понедельник;47;Рабочий
20.11.2018;2018;11;2;Вторник;47;Рабочий
21.11.2018;2018;11;3;Среда;47;Рабочий
22.11.2018;2018;11;4;Четверг;47;Рабочий
23.11.2018;2018;11;5;Пятница;47;Пятница
